usuario,texto,entidade_mencionada,score_sentimento
15ae4086-4952-4aac-a16b-5c2852e5e523,esperando pelo próximo cofee-break já,Cofee-break,0.0
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,a maratona foi legal dmss,Dms,0.128
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,a maratona foi legal dmss,Maratona,0.128
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,queria mesa redonda todos os dias :(,Secom,-0.4404
40e23675-8f02-4354-a49c-3a3e0f6c2687,"palestras são muito boas, criativas",Criativas,0.4588
40e23675-8f02-4354-a49c-3a3e0f6c2687,"palestras são muito boas, criativas",Palestras,0.4588
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Secom,-0.296
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Trabalho,-0.296
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho,Mercado,-0.296
19f49226-5a60-463b-85d3-ac562e4eddc4,triste por perder algumas palestras,Palestras,-0.7096
32724cee-7c33-4b98-a90c-4d0203f9d84a,como faço para participar da empresa junior,Empresa,-0.1531
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,setapp maior do brasil,Brasil,0.6369
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Premios,0.2023
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Gamejam,0.2023
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha,Maratona,0.2023
32724cee-7c33-4b98-a90c-4d0203f9d84a,como empresa junior contribui para minha carreira profissional,Vida,-0.1531
32724cee-7c33-4b98-a90c-4d0203f9d84a,como empresa junior contribui para minha carreira profissional,Empresa,-0.1531
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa da setapp😋,Camisa,0.0
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa da setapp😋,Setapp,0.0
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,coffe break muito bom,Coffe,0.4588
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ótima programação,Programacao,0.6705
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa de,Camisa,0.0
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,espero que a internet funcione,Secom,0.0
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,espero que a internet funcione,Internet,0.0
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,vai ter picolé hoje também,Secom,0.0
e2b6d403-470e-4752-8767-48575bb10c67,maratona foi dahora,Maratona,0.6124
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Tarde,0.6486
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Formato,0.6486
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes",Mesa,0.6486
e2b6d403-470e-4752-8767-48575bb10c67,podia ter mais atrações como a mesa redonda,Atracoes,0.4215
e2b6d403-470e-4752-8767-48575bb10c67,podia ter mais atrações como a mesa redonda,Mesa,0.4215
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom,Queijo,0.4588
