participante,comentário
1e2c4536-db1c-40f6-a514-717da937138d,somos unidas
97bb898c-af32-4429-b56c-5914309a8775,bom demais ver os resultados do meninas digitais
97bb898c-af32-4429-b56c-5914309a8775,o impacto no país todinhos 💖
b787555f-cd18-4a0b-9e20-493282185ddd,os projetos acadêmicos deveriam ser mais valorizados no nosso país
b787555f-cd18-4a0b-9e20-493282185ddd,é enriquecedor
cf343695-2367-4236-b0ab-3c72d8222639,achei muito interessante acompanhar a experiência de sucesso de uma mulher na computação
cf343695-2367-4236-b0ab-3c72d8222639,palestra muito motivadora
cf343695-2367-4236-b0ab-3c72d8222639,motivadora
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,palestra muito dinamica
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,"boa, muito explicativa"
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,entusiasmante
65ac7c8a-1f08-47ab-bf2a-1f556fe3852c,muito importante este trabalho de incentivar a presença de mulheres na computação
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,"gosto muito da ideia dos desafios, estimula a presença"
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,participação mo evento
65ac7c8a-1f08-47ab-bf2a-1f556fe3852c,parabéns a todas envolvidas
79625db1-c0bb-49d6-aa29-76fd1dc284e8,"sempre gostei muito da área de inovação, achei legal a parte de ter no csbc essa inovação"
79625db1-c0bb-49d6-aa29-76fd1dc284e8,muito bom para as meninas conhecerem esses movimentos
2588a076-a47e-443c-a9f3-22057a7980f9,palestras extremamente necessárias
2588a076-a47e-443c-a9f3-22057a7980f9,"inspiradoras, especialmente para mulheres que, até pouco tempo, nao tinham espaço"
c04b5ba6-0939-443f-93db-54b15820e804,muito inspirador conhecer a trajetória de outras mulheres na pesquisa 💖💖
266dfd00-4b9e-447c-910d-0deebdb32501,tantos relatos lindos sendo compartilhados
266dfd00-4b9e-447c-910d-0deebdb32501,momento inspirador
2588a076-a47e-443c-a9f3-22057a7980f9,palestras interativas
