usuario,texto,entidade_mencionada
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Mercado
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Secom
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho,Trabalho
98d481f0-cfc5-4976-9bfb-61e179be6958,"o ambiente do auditório está muito bom, os ar condicionados ajudaram muito para deixa fresco",Auditorio
98d481f0-cfc5-4976-9bfb-61e179be6958,"o ambiente do auditório está muito bom, os ar condicionados ajudaram muito para deixa fresco",Ambiente
98d481f0-cfc5-4976-9bfb-61e179be6958,"confortável, facilitando o foco nos eventos",Foco
98d481f0-cfc5-4976-9bfb-61e179be6958,"confortável, facilitando o foco nos eventos",Eventos
e06ffaec-3d0b-45f5-85c5-94027d692f0f,estou gostando muito das palestras,Palestras
e06ffaec-3d0b-45f5-85c5-94027d692f0f,achei a alexandra muito foda,Alexandra
e06ffaec-3d0b-45f5-85c5-94027d692f0f,achei a alexandra muito foda,Foda
5c812191-4a89-40c2-ad20-11d17bed69a1,"o início com o aplicativo foi complicado,",Abertura
5c812191-4a89-40c2-ad20-11d17bed69a1,"o início com o aplicativo foi complicado,",App
5c812191-4a89-40c2-ad20-11d17bed69a1,no geral foi tranquilo,Gpu
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Conversa
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Secom
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Pessoal
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou",Roda
bd6291a1-9381-4303-8619-d1612876e850,importante para entender questões específicas necessárias que não tinha pensado serem importantes no mercado,Mercado
bd6291a1-9381-4303-8619-d1612876e850,importante para entender questões específicas necessárias que não tinha pensado serem importantes no mercado,Secom
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Mercado
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Trabalho
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Ex-alunos
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Tarde
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom,Palestras
