usuario,texto,entidade_mencionada
e9b594f7-6309-4190-9032-4dde803e2d6a,muito bom conhecer a história de outras mulheres na área👏👏👏,Artigos
e9b594f7-6309-4190-9032-4dde803e2d6a,muito bom conhecer a história de outras mulheres na área👏👏👏,Area
262af184-23c3-4cb4-8231-04a142217d69,mostra que nós mulheres podemos encontrar nosso lugar na tecnologia,Mulheres
262af184-23c3-4cb4-8231-04a142217d69,mostra que nós mulheres podemos encontrar nosso lugar na tecnologia,Tecnologia
262af184-23c3-4cb4-8231-04a142217d69,mostra que nós mulheres podemos encontrar nosso lugar na tecnologia,Area
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,as palestras estão incríveis,Palestra
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito bom poder participar do evento,Energia
6a932bef-bc47-4979-8361-01f0ca51d5bd,"palestra sensacional, uma visão pessoal de uma pesquisadora já consolidada",Palestra
6a932bef-bc47-4979-8361-01f0ca51d5bd,"palestra sensacional, uma visão pessoal de uma pesquisadora já consolidada",Organizacao
6a932bef-bc47-4979-8361-01f0ca51d5bd,"palestra sensacional, uma visão pessoal de uma pesquisadora já consolidada",Pesquisa
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia",Organizacao
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia",Mulheres
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia",Area
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia",Diferenca
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia",Tecnologia
d90a7533-8a3c-4a1e-9221-2185fdeaec90,energia maravilhosa,Energia
d90a7533-8a3c-4a1e-9221-2185fdeaec90,muito bom ver mulheres na área de ti,Mulheres
d90a7533-8a3c-4a1e-9221-2185fdeaec90,muito bom ver mulheres na área de ti,Area
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,"estou amando cada momento, tudo perfeito",Momento
dbfa6a71-9259-4730-8103-7b846417ee6c,"evento muito interessante, ouvir mulher numa área ainda muito masculina é sempre bom",Mulheres
dbfa6a71-9259-4730-8103-7b846417ee6c,"evento muito interessante, ouvir mulher numa área ainda muito masculina é sempre bom",Area
d90a7533-8a3c-4a1e-9221-2185fdeaec90,inspirador ouvir todas as histórias dessas mulheres maravilhosas,Mulheres
d90a7533-8a3c-4a1e-9221-2185fdeaec90,inspirador ouvir todas as histórias dessas mulheres maravilhosas,Artigos
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,"evento inspirador, sensação incrível ver tantas mulheres maravilhosas",Mulheres
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,"evento inspirador, sensação incrível ver tantas mulheres maravilhosas",Organizacao
170840c4-5893-454a-8433-5854baffd2cc,ansiosa pelo fórum meninas digitais,Mulheres
170840c4-5893-454a-8433-5854baffd2cc,ansiosa pelo fórum meninas digitais,Forum
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino,Fato
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino,Carreira
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino,Publico
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino,Sessoes
9365cf2e-64e9-49a0-bd3a-0d347b215820,palestra está incrível ❤️❤️,Palestra
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,é inspirador ver mulheres ocupando cargos tão importantes dentro da tecnologia 🥰✨,Mulheres
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,é inspirador ver mulheres ocupando cargos tão importantes dentro da tecnologia 🥰✨,Cargos
